label,text
spam,Act now! Exclusive deal on TV available at promo.link/redeem.
ham,cool. We will have fun practicing making babies!
ham,Its worse if if uses half way then stops. Its better for him to complete it.
spam,Earn $500 working from home. Sign up today at promo.link/redeem.
spam,Limited time offer! Get 70% off on iPhone. Visit www.example.com.
ham,"I dont knw pa, i just drink milk.."
ham,Normally i use to drink more water daily:)
spam,Get a laptop for free! Just sign up at promo.link/redeem.
spam,Hurry! Your voucher is waiting. Redeem today at tinyurl.com/deal.
ham,Wat r u doing?
spam,Congratulations! You have won a free trip. Claim now at bit.ly/freegift.
ham,Haven't left yet so probably gonna be here til dinner
spam,"Special offer for you! Buy one gift card, get one free at tinyurl.com/deal."
ham,Will be out of class in a few hours. Sorry
ham,U're welcome... Caught u using broken english again...
spam,Earn $2000 working from home. Sign up today at tinyurl.com/deal.
ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"
spam,Act now! Exclusive deal on iPhone available at promo.link/redeem.
ham,Then what about further plan?
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
spam,Earn $500 working from home. Sign up today at promo.link/redeem.
spam,Limited time offer! Get 20% off on TV. Visit www.example.com.
spam,"Special offer for you! Buy one TV, get one free at promo.link/redeem."
spam,Your trip subscription is about to expire. Renew at www.example.com.
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,"""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"""
ham,Check audrey's status right now
spam,You've been selected for a bonus. Confirm your details at bit.ly/freegift.
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
spam,Don't miss out on cashback! Click www.example.com to learn more.
ham,Reckon need to be in town by eightish to walk from * carpark.
spam,Your trip subscription is about to expire. Renew at promo.link/redeem.
spam,You've been selected for a free trial. Confirm your details at www.example.com.
ham,A bloo bloo bloo I'll miss the first bowl
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!
spam,You've been selected for a bonus. Confirm your details at promo.link/redeem.
spam,"Special offer for you! Buy one TV, get one free at promo.link/redeem."
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
spam,Don't miss out on cashback! Click bit.ly/freegift to learn more.
spam,Your voucher subscription is about to expire. Renew at www.example.com.
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
spam,Get a TV for free! Just sign up at www.example.com.
spam,Get a TV for free! Just sign up at promo.link/redeem.
ham,K..i deleted my contact that why?
spam,Don't miss out on free trial! Click bit.ly/freegift to learn more.
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,i cant talk to you now.i will call when i can.dont keep calling.
ham,You are a big chic. Common. Declare
ham,Can not use foreign stamps in this country.
ham,After completed degree. There is no use in joining finance.
spam,Get a iPhone for free! Just sign up at tinyurl.com/deal.
spam,Don't miss out on big savings! Click promo.link/redeem to learn more.
spam,Don't miss out on cashback! Click tinyurl.com/deal to learn more.
ham,"""Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx"""
ham,Hasn't that been the pattern recently crap weekends?
spam,Congratulations! You have won a free trip. Claim now at bit.ly/freegift.
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
ham,Where u been hiding stranger?
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,Lol. Well quality aint bad at all so i aint complaining
ham,Yes princess! I want to make you happy...
spam,Limited time offer! Get 20% off on gift card. Visit bit.ly/freegift.
ham,"Total disappointment, when I texted you was the craziest shit got :("
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
spam,Don't miss out on big savings! Click promo.link/redeem to learn more.
ham,"Hiya, probably coming home * weekend after next"
spam,"Special offer for you! Buy one TV, get one free at bit.ly/freegift."
ham,I have to take exam with march 3
ham,Okie.. Thanx..
ham,Pls pls find out from aunt nike.
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
spam,Your iPhone subscription is about to expire. Renew at tinyurl.com/deal.
spam,Earn $1000 working from home. Sign up today at tinyurl.com/deal.
ham,"K I'm ready,  &lt;#&gt; ?"
ham,Thats cool. i liked your photos. You are very sexy!
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.
ham,Dont think so. It turns off like randomlly within 5min of opening
spam,Get a voucher for free! Just sign up at www.example.com.
ham,Oi when you gonna ring
spam,Your laptop subscription is about to expire. Renew at tinyurl.com/deal.
spam,Limited time offer! Get 70% off on TV. Visit www.example.com.
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
spam,"Special offer for you! Buy one voucher, get one free at www.example.com."
spam,You've been selected for a free trial. Confirm your details at bit.ly/freegift.
ham,Yes. It's all innocent fun. O:-)
ham,Later i guess. I needa do mcat study too.
spam,Act now! Exclusive deal on TV available at tinyurl.com/deal.
ham,Alex says he's not ok with you not being ok with it
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,I dont understand your message.
spam,You've been selected for a membership. Confirm your details at tinyurl.com/deal.
ham,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
spam,Congratulations! You have won a free laptop. Claim now at bit.ly/freegift.
ham,Then she buying today? Ü no need to c meh...
ham,"Ok omw now, you at castor?"
spam,Congratulations! You have won a free gift card. Claim now at www.example.com.
ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
spam,"Special offer for you! Buy one gift card, get one free at promo.link/redeem."
spam,Hurry! Your iPhone is waiting. Redeem today at tinyurl.com/deal.
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
spam,Hurry! Your laptop is waiting. Redeem today at tinyurl.com/deal.
ham,Stupid.its not possible
ham,I'm going out to buy mum's present ar.
spam,Congratulations! You have won a free laptop. Claim now at www.example.com.
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
ham,"yeah, that's what I was thinking"
ham,In the end she might still vomit but its okay. Not everything will come out.
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
ham,I'll reach in ard 20 mins ok...
spam,Get a laptop for free! Just sign up at tinyurl.com/deal.
ham,They did't play one day last year know even though they have very good team.. Like india.
spam,Your laptop subscription is about to expire. Renew at bit.ly/freegift.
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
ham,Quite late lar... Ard 12 anyway i wun b drivin...
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...
ham,So ü pay first lar... Then when is da stock comin...
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
ham,"Sorry, I'll call later"
ham,Mum ask ü to buy food home...
ham,Hi.what you think about match?
ham,Minimum walk is 3miles a day.
spam,Congratulations! You have won a free gift card. Claim now at tinyurl.com/deal.
ham,I'll talk to the others and probably just come early tomorrow then
spam,You've been selected for a membership. Confirm your details at tinyurl.com/deal.
spam,"Special offer for you! Buy one trip, get one free at promo.link/redeem."
ham,Sindu got job in birla soft ..
spam,You've been selected for a membership. Confirm your details at tinyurl.com/deal.
ham,How are you doing. How's the queen. Are you going for the royal wedding
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
spam,"Special offer for you! Buy one laptop, get one free at tinyurl.com/deal."
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
spam,Earn $2000 working from home. Sign up today at tinyurl.com/deal.
spam,Limited time offer! Get 20% off on iPhone. Visit tinyurl.com/deal.
ham,Detroit. The home of snow. Enjoy it.
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
ham,Long time. You remember me today.
spam,Don't miss out on big savings! Click tinyurl.com/deal to learn more.
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,Dear where you will be when i reach there
spam,Don't miss out on big savings! Click tinyurl.com/deal to learn more.
spam,Earn $2000 working from home. Sign up today at bit.ly/freegift.
spam,Congratulations! You have won a free gift card. Claim now at www.example.com.
spam,Limited time offer! Get 30% off on gift card. Visit www.example.com.
ham,That is wondar full flim.
ham,Ok which your another number
ham,Then mum's repent how?
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
spam,You've been selected for a cash reward. Confirm your details at bit.ly/freegift.
spam,Don't miss out on big savings! Click promo.link/redeem to learn more.
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...
spam,Don't miss out on free trial! Click www.example.com to learn more.
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
ham,Dear how you. Are you ok?
spam,"Special offer for you! Buy one iPhone, get one free at www.example.com."
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
spam,Hurry! Your TV is waiting. Redeem today at tinyurl.com/deal.
spam,Act now! Exclusive deal on voucher available at www.example.com.
spam,Don't miss out on cashback! Click www.example.com to learn more.
spam,Act now! Exclusive deal on laptop available at www.example.com.
ham,Dude ive been seeing a lotta corvettes lately
spam,Your iPhone subscription is about to expire. Renew at promo.link/redeem.
ham,Got it. Seventeen pounds for seven hundred ml – hope ok.
spam,Get a trip for free! Just sign up at tinyurl.com/deal.
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
ham,So when you gonna get rimac access
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!"
ham,Huh? 6 also cannot? Then only how many mistakes?
ham,Dunno lei he neva say...
ham,Carlos says we can pick up from him later so yeah we're set
spam,You've been selected for a cash reward. Confirm your details at tinyurl.com/deal.
spam,Limited time offer! Get 70% off on TV. Visit promo.link/redeem.
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,I hope you know I'm still mad at you.
ham,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.
spam,Limited time offer! Get 30% off on laptop. Visit www.example.com.
ham,Let me know when you've got the money so carlos can make the call
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
spam,Get a TV for free! Just sign up at bit.ly/freegift.
spam,Act now! Exclusive deal on voucher available at www.example.com.
spam,Act now! Exclusive deal on laptop available at promo.link/redeem.
spam,You've been selected for a bonus. Confirm your details at www.example.com.
spam,Your iPhone subscription is about to expire. Renew at www.example.com.
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
ham,Your pussy is perfect!
spam,Get a TV for free! Just sign up at tinyurl.com/deal.
ham,ok....take care.umma to you too...
spam,Don't miss out on big savings! Click promo.link/redeem to learn more.
ham,"Sorry, I'll call later  &lt;#&gt; mins"
spam,Act now! Exclusive deal on trip available at tinyurl.com/deal.
spam,Your laptop subscription is about to expire. Renew at tinyurl.com/deal.
ham,Ugh just got outta class
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
ham,Just sleeping..and surfing
spam,Hurry! Your iPhone is waiting. Redeem today at promo.link/redeem.
spam,Earn $1000 working from home. Sign up today at tinyurl.com/deal.
spam,Congratulations! You have won a free gift card. Claim now at www.example.com.
ham,My sister cleared two round in birla soft yesterday.
ham,"Mostly sports type..lyk footbl,crckt.."
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
spam,"Special offer for you! Buy one trip, get one free at promo.link/redeem."
spam,Hurry! Your gift card is waiting. Redeem today at www.example.com.
spam,Hurry! Your laptop is waiting. Redeem today at tinyurl.com/deal.
spam,Act now! Exclusive deal on TV available at www.example.com.
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,Hmmm:)how many players selected?
ham,Pls send me your address sir.
spam,Act now! Exclusive deal on gift card available at www.example.com.
ham,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
ham,Except theres a chick with huge boobs.
ham,Where r we meeting?
spam,"Special offer for you! Buy one iPhone, get one free at www.example.com."
ham,"No, but you told me you were going, before you got drunk!"
spam,Your laptop subscription is about to expire. Renew at bit.ly/freegift.
ham,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.
ham,Don know. I did't msg him recently.
spam,Congratulations! You have won a free trip. Claim now at bit.ly/freegift.
spam,Hurry! Your voucher is waiting. Redeem today at promo.link/redeem.
spam,You've been selected for a membership. Confirm your details at tinyurl.com/deal.
spam,Limited time offer! Get 50% off on gift card. Visit tinyurl.com/deal.
spam,Earn $500 working from home. Sign up today at tinyurl.com/deal.
ham,I cant pick the phone right now. Pls send a message
spam,Hurry! Your gift card is waiting. Redeem today at tinyurl.com/deal.
ham,Check with nuerologist.
spam,Your gift card subscription is about to expire. Renew at tinyurl.com/deal.
ham,May b approve panalam...but it should have more posts..
ham,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night
spam,Congratulations! You have won a free voucher. Claim now at promo.link/redeem.
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!
ham,Ok.ok ok..then..whats ur todays plan
ham,No calls..messages..missed calls
ham,Hey you around? I've got enough for a half + the ten I owe you
ham,You in your room? I need a few
spam,Don't miss out on cashback! Click www.example.com to learn more.
spam,Earn $1000 working from home. Sign up today at tinyurl.com/deal.
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"Come round, it's ."
spam,Act now! Exclusive deal on trip available at bit.ly/freegift.
spam,Earn $2000 working from home. Sign up today at promo.link/redeem.
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
spam,You've been selected for a membership. Confirm your details at promo.link/redeem.
ham,and  picking them up from various points
ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
spam,Don't miss out on free trial! Click promo.link/redeem to learn more.
spam,"Special offer for you! Buy one gift card, get one free at www.example.com."
spam,Get a trip for free! Just sign up at tinyurl.com/deal.
spam,Hurry! Your laptop is waiting. Redeem today at bit.ly/freegift.
ham,Can. Dunno wat to get 4 her...
ham,From 5 to 2 only my work timing.
ham,"""Thinking of u ;) x"""
spam,Don't miss out on big savings! Click promo.link/redeem to learn more.
spam,Congratulations! You have won a free trip. Claim now at promo.link/redeem.
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
spam,You've been selected for a free trial. Confirm your details at www.example.com.
spam,Get a laptop for free! Just sign up at tinyurl.com/deal.
spam,You've been selected for a free trial. Confirm your details at tinyurl.com/deal.
spam,Get a iPhone for free! Just sign up at tinyurl.com/deal.
spam,Limited time offer! Get 50% off on voucher. Visit tinyurl.com/deal.
spam,You've been selected for a free trial. Confirm your details at bit.ly/freegift.
spam,Limited time offer! Get 20% off on gift card. Visit bit.ly/freegift.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham,Dhoni have luck to win some big title.so we will win:)
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
spam,Congratulations! You have won a free voucher. Claim now at www.example.com.
spam,"Special offer for you! Buy one gift card, get one free at www.example.com."
ham,What pa tell me.. I went to bath:-)
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
spam,"Special offer for you! Buy one TV, get one free at www.example.com."
spam,Hurry! Your iPhone is waiting. Redeem today at bit.ly/freegift.
spam,Congratulations! You have won a free TV. Claim now at bit.ly/freegift.
ham,Boo what time u get out? U were supposed to take me shopping today. :(
ham,Yup next stop.
spam,Limited time offer! Get 20% off on TV. Visit promo.link/redeem.
ham,Cps is causing the outages to conserve energy.
spam,You've been selected for a membership. Confirm your details at www.example.com.
ham,"Sorry, I'll call later"
spam,Act now! Exclusive deal on iPhone available at tinyurl.com/deal.
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
ham,How many licks does it take to get to the center of a tootsie pop?
ham,Okay. I've seen it. So i should pick it on friday?
spam,Hurry! Your laptop is waiting. Redeem today at tinyurl.com/deal.
ham,"Jus chillaxin, what up"
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
spam,Limited time offer! Get 30% off on laptop. Visit www.example.com.
ham,"Sorry, I'll call later"
ham,I'm thinking that chennai forgot to come for auction..
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,What's the significance?
ham,U sure u can't take any sick time?
ham,Yar but they say got some error.
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
ham,Gudnite....tc...practice going on
ham,Free any day but i finish at 6 on mon n thurs...
ham,Nah im goin 2 the wrks with j wot bout u?
ham,Okie
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,"Aight, I'll hit you up when I get some cash"
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
spam,Earn $500 working from home. Sign up today at bit.ly/freegift.
ham,I'm home. Doc gave me pain meds says everything is fine.
spam,Earn $1000 working from home. Sign up today at bit.ly/freegift.
ham,Sent me ur email id soon
spam,Get a laptop for free! Just sign up at tinyurl.com/deal.
spam,Get a TV for free! Just sign up at www.example.com.
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
ham,Home so we can always chat
spam,You've been selected for a bonus. Confirm your details at www.example.com.
spam,Act now! Exclusive deal on trip available at promo.link/redeem.
ham,Hey what's up charles sorry about the late reply.
spam,Act now! Exclusive deal on trip available at tinyurl.com/deal.
ham,Si si. I think ill go make those oreo truffles.
ham,"I'm in solihull, | do you want anything?"
ham,Thanks for loving me so. You rock
ham,Hey check it da. I have listed da.
spam,"Special offer for you! Buy one gift card, get one free at promo.link/redeem."
spam,Earn $2000 working from home. Sign up today at www.example.com.
ham,My birthday is on feb  &lt;#&gt;  da. .
ham,If you r @ home then come down within 5 min
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
ham,"Received, understood n acted upon!"
spam,Act now! Exclusive deal on TV available at tinyurl.com/deal.
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
spam,Hurry! Your iPhone is waiting. Redeem today at www.example.com.
ham,"Sorry, I'll call later"
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
spam,Hurry! Your iPhone is waiting. Redeem today at bit.ly/freegift.
ham,Don no da:)whats you plan?
ham,Just finished. Missing you plenty
ham,Oh... Okie lor...We go on sat...
spam,You've been selected for a cash reward. Confirm your details at tinyurl.com/deal.
spam,Act now! Exclusive deal on trip available at bit.ly/freegift.
ham,K.k:)when are you going?
ham,I wish u were here. I feel so alone
spam,Hurry! Your voucher is waiting. Redeem today at tinyurl.com/deal.
ham,"Sorry, I can't help you on this."
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
spam,Act now! Exclusive deal on TV available at www.example.com.
spam,Don't miss out on cashback! Click bit.ly/freegift to learn more.
ham,PS U no ur a grown up now right?
spam,Your trip subscription is about to expire. Renew at www.example.com.
spam,Your TV subscription is about to expire. Renew at www.example.com.
ham,Got meh... When?
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
spam,Get a voucher for free! Just sign up at tinyurl.com/deal.
ham,i thought we were doing a king of the hill thing there.
ham,"Aight, we'll head out in a few"
spam,Congratulations! You have won a free TV. Claim now at tinyurl.com/deal.
spam,Don't miss out on cashback! Click tinyurl.com/deal to learn more.
spam,Don't miss out on cashback! Click www.example.com to learn more.
ham,Aight well keep me informed
spam,Act now! Exclusive deal on iPhone available at promo.link/redeem.
spam,You've been selected for a bonus. Confirm your details at promo.link/redeem.
spam,Congratulations! You have won a free gift card. Claim now at promo.link/redeem.
ham,Erutupalam thandiyachu
spam,Act now! Exclusive deal on TV available at tinyurl.com/deal.
ham,Okie... Thanx...
ham,Ok lor...
spam,Get a iPhone for free! Just sign up at promo.link/redeem.
ham,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
ham,Where is it. Is there any opening for mca.
ham,What happen dear tell me
ham,Here got lots of hair dresser fr china.
spam,You've been selected for a free trial. Confirm your details at promo.link/redeem.
ham,S but mostly not like that.
